player_id,team_id,name,position,age,nationality
53,3,Kyle Becker,MID,32,Brazilian
54,3,Archie Martinez,DEF,18,Croatian
55,3,Jack Rodriguez,GK,35,Swedish
56,3,Carlos Weber,DEF,33,Spanish
57,3,Oscar Brown,MID,24,Moroccan
58,3,Liam Klein,DEF,36,French
59,3,Bruno Davies,DEF,35,Polish
60,3,Jordan Hernandez,DEF,27,Dutch
61,3,Raheem Torres,DEF,26,Norwegian
62,3,Jordan Brown,GK,36,German
63,3,George Hoffmann,DEF,25,Brazilian
64,3,Jude Brown,FWD,28,Nigerian
65,3,Lucas Castro,FWD,26,Polish
66,3,James Camara,FWD,26,German
67,3,Mason Hernandez,DEF,20,Croatian
68,3,Ethan Silva,DEF,23,Senegalese
69,3,Leo Coulibaly,MID,25,Polish
70,3,Luis Hernandez,FWD,18,Spanish
71,3,Kyle Silva,GK,27,Brazilian
72,3,Raheem Johnson,MID,34,Danish
73,3,Riyad Smith,DEF,21,Croatian
74,3,Harry Sanchez,MID,21,Danish
75,3,Mason Williams,DEF,18,Ivorian
76,4,Leo Coulibaly,DEF,20,Ivorian
77,4,Riyad Fernandez,FWD,21,Dutch
78,4,Lucas White,FWD,17,Argentine
79,4,Callum Fernandez,FWD,24,Belgian
80,4,Lucas Evans,DEF,18,Swedish
81,4,Henry Walker,FWD,31,Ivorian
82,4,Trent Allen,DEF,23,Moroccan
83,4,Callum Silva,FWD,25,Ivorian
84,4,Carlos Torres,MID,34,Senegalese
85,4,Oliver Wilson,FWD,25,Argentine
86,4,Wilfried Hernandez,GK,36,Danish
87,4,Jude Rodriguez,MID,33,German
88,4,Ben Klein,DEF,18,Danish
89,4,James Weber,FWD,34,Portuguese
90,4,Phil Gomez,GK,27,Senegalese
91,4,Liam Garcia,MID,30,Senegalese
92,4,Aaron Martinez,MID,23,Danish
93,4,Ben Coulibaly,MID,22,Nigerian
94,4,Aaron Becker,FWD,26,Nigerian
95,4,Leo Gomez,FWD,36,Senegalese
96,4,Ivan Castro,MID,23,Polish
97,4,Pedro Johnson,MID,26,Polish
98,4,Bruno Lopez,DEF,24,Nigerian
99,4,Henry Walker,DEF,18,Dutch
100,4,Pedro Traore,FWD,19,Norwegian
101,5,Reece Kone,MID,29,Swedish
102,5,Aaron Young,DEF,17,German
103,5,Kyle Allen,DEF,33,Norwegian
104,5,Jack Becker,DEF,20,Norwegian
105,5,Mason Reyes,MID,34,Senegalese
106,5,John Traore,FWD,33,Danish
107,5,Riyad Castro,FWD,32,Norwegian
108,5,Raheem Young,FWD,25,Polish
109,5,Luis Kone,DEF,31,Spanish
110,5,Declan Young,DEF,27,Croatian
111,5,Noah Thomas,DEF,29,Brazilian
112,5,Leo Brown,DEF,27,Croatian
113,5,Ivan Fernandez,GK,30,Moroccan
114,5,Wilfried Jones,FWD,35,Moroccan
115,5,Pedro Smith,FWD,26,Moroccan
116,5,Reece Hoffmann,MID,34,Dutch
117,5,Luis Allen,DEF,32,English
118,5,Ben Lopez,MID,29,Argentine
119,5,Ivan Thomas,FWD,34,English
120,5,Aaron Mbeki,MID,17,Spanish
121,5,Kyle Thomas,FWD,22,French
122,5,Raheem Diaz,DEF,31,Senegalese
123,5,Callum Diaz,DEF,30,Belgian
124,5,Noah Muller,GK,34,French
125,5,Jude Allen,MID,18,English
126,6,Kai Walker,FWD,36,Brazilian
127,6,Kai Thomas,MID,20,Portuguese
128,6,Ivan Hernandez,MID,22,German
129,6,Lucas Garcia,DEF,17,Nigerian
130,6,Youri Coulibaly,FWD,29,Moroccan
131,6,Archie Brown,MID,24,German
132,6,Trent Coulibaly,MID,20,French
133,6,Jude Hoffmann,DEF,28,Spanish
134,6,Carlos Toure,DEF,30,Swedish
135,6,Charlie Gomez,FWD,31,Brazilian
136,6,Kyle White,MID,25,Croatian
137,6,Pedro Reyes,MID,35,Belgian
138,6,Jordan Young,FWD,19,Belgian
139,6,John Young,MID,35,Moroccan
140,6,Callum Jones,MID,27,Argentine
141,6,Luis Hall,DEF,25,Senegalese
142,6,Marcus Diallo,MID,25,Croatian
143,6,James Weber,FWD,19,Dutch
144,6,Reece Schmidt,MID,24,Swedish
145,6,Luis Castro,FWD,19,Nigerian
146,6,Henry Torres,MID,26,Ivorian
147,6,Pedro Becker,MID,30,Croatian
148,6,Callum Perez,MID,25,Nigerian
149,6,Raheem Allen,DEF,23,Senegalese
150,6,Liam Hoffmann,FWD,22,Portuguese
151,7,Leo Muller,DEF,35,Polish
152,7,Ilkay Martinez,FWD,23,Nigerian
153,7,Henry Sanchez,DEF,17,Croatian
154,7,Mason Silva,GK,18,Croatian
155,7,Declan Thomas,MID,32,German
156,7,James Klein,DEF,32,Norwegian
157,7,Callum White,FWD,25,Swedish
158,7,Liam Brown,DEF,19,French
159,7,Ethan Roberts,FWD,26,Spanish
160,7,Kai Wilson,MID,30,Dutch
161,7,Ahmed Diaz,MID,31,Nigerian
162,7,Wilfried Gomez,DEF,36,French
163,7,Bruno Evans,FWD,23,Portuguese
164,7,Raheem Camara,DEF,24,Argentine
165,7,Riyad Brown,DEF,30,Norwegian
166,7,Ilkay Muller,DEF,24,Nigerian
167,7,Declan Reyes,GK,24,Belgian
168,7,Wilfried Camara,FWD,23,Danish
169,7,Liam Hoffmann,DEF,21,Belgian
170,7,Ethan Brown,GK,26,Nigerian
171,7,John Wilson,MID,26,Moroccan
172,7,Marcus Fischer,MID,31,Spanish
173,7,Ilkay Williams,FWD,27,Belgian
174,7,Oliver Davies,DEF,35,English
175,7,Marcus Klein,GK,22,Swedish
176,8,Ahmed Toure,MID,25,Argentine
177,8,Wilfried Gomez,MID,32,Spanish
178,8,Pedro Perez,DEF,27,German
179,8,Lucas Lopez,DEF,32,Nigerian
180,8,Aaron Becker,GK,19,Senegalese
181,8,Raheem Rodriguez,DEF,29,Polish
182,8,James Camara,FWD,31,Danish
183,8,Jack Walker,MID,36,Swedish
184,8,John Taylor,DEF,34,Brazilian
185,8,Declan Castro,FWD,32,German
186,8,Oliver Kone,MID,24,Argentine
187,8,Trent Becker,GK,30,Spanish
188,8,Henry Wilson,MID,20,Brazilian
189,8,Luis Martinez,MID,25,Danish
190,8,Pedro Muller,DEF,34,Brazilian
191,8,Ben Walker,FWD,33,Brazilian
192,8,George Silva,MID,30,Senegalese
193,8,Carlos Silva,FWD,26,Nigerian
194,8,Wilfried Mbeki,FWD,32,Brazilian
195,8,John Hoffmann,MID,27,Croatian
196,8,Samir Diaz,MID,27,Portuguese
197,8,Kai Klein,DEF,30,French
198,8,Jordan Muller,MID,29,Moroccan
199,8,Ethan Schmidt,FWD,21,Polish
200,8,Wilfried Lopez,FWD,31,German
201,9,Ahmed Reyes,GK,21,Danish
202,9,Ethan Brown,MID,25,Senegalese
203,9,Bruno Torres,MID,27,Croatian
204,9,Ben Rodriguez,MID,32,Croatian
205,9,Harry Traore,GK,26,Dutch
206,9,Noah Gomez,FWD,20,Norwegian
207,9,Lucas Garcia,FWD,18,Senegalese
208,9,Jack Martinez,DEF,30,Brazilian
209,9,Kai Weber,DEF,22,Argentine
210,9,Oscar Davies,MID,29,Dutch
211,9,Luis Mbeki,DEF,31,Belgian
212,9,Ivan Hernandez,MID,31,Nigerian
213,9,Samir Johnson,GK,28,Nigerian
214,9,Kyle Hernandez,MID,26,Portuguese
215,9,Ben Muller,DEF,29,Ivorian
216,9,Youri Martinez,FWD,26,English
217,9,Aaron Silva,GK,18,Swedish
218,9,Declan Allen,MID,28,Dutch
219,9,Archie Traore,DEF,21,German
220,9,Harry Garcia,FWD,18,Ivorian
221,9,Mason Davies,FWD,27,Danish
222,9,Oscar Walker,DEF,34,Ivorian
223,9,Ahmed Fischer,FWD,22,Belgian
224,9,Pedro Martinez,MID,27,German
225,9,Ivan Brown,DEF,24,Moroccan
226,10,Riyad Sanchez,DEF,29,English
227,10,Raheem Hoffmann,DEF,28,Belgian
228,10,Wilfried Diaz,FWD,28,German
229,10,Henry Muller,GK,34,Senegalese
230,10,Bruno Allen,MID,31,Nigerian
231,10,Reece Wilson,DEF,18,Nigerian
232,10,Luis Wilson,DEF,34,Brazilian
233,10,Ben Reyes,DEF,34,Danish
234,10,Wilfried Roberts,FWD,20,Swedish
235,10,Bruno Fernandez,FWD,25,French
236,10,Phil Hall,MID,24,Ivorian
237,10,Charlie Coulibaly,DEF,28,French
238,10,Aaron Silva,DEF,20,Norwegian
239,10,Noah Camara,DEF,36,English
240,10,Jack Lopez,DEF,21,Portuguese
241,10,George Becker,DEF,23,Dutch
242,10,Callum Roberts,FWD,36,English
243,10,Marcus Roberts,FWD,34,Belgian
244,10,Oscar Wilson,MID,17,Brazilian
245,10,James Perez,FWD,24,Senegalese
246,10,Oliver White,DEF,21,Danish
247,10,Ahmed Wilson,MID,32,Norwegian
248,10,Phil Fischer,MID,31,Polish
249,10,Henry Traore,GK,33,Nigerian
250,10,Ivan Toure,FWD,18,Swedish
251,11,Aaron Gomez,MID,32,Norwegian
252,11,George Davies,DEF,21,Spanish
253,11,Mason Silva,MID,35,Croatian
254,11,Jordan Diaz,FWD,33,Nigerian
255,11,Ivan Fischer,MID,20,German
256,11,Riyad Hall,MID,24,Danish
257,11,Callum Reyes,DEF,20,Senegalese
258,11,Kyle Rodriguez,MID,28,Brazilian
259,11,Pedro Brown,DEF,19,Spanish
260,11,Kyle Evans,MID,28,Brazilian
261,11,Riyad Taylor,MID,34,Croatian
262,11,Callum Camara,DEF,28,Danish
263,11,Jack Martinez,MID,28,German
264,11,Youri Fischer,DEF,32,Dutch
265,11,Charlie Perez,FWD,28,German
266,11,Marcus Klein,DEF,30,Croatian
267,11,Bruno Traore,MID,34,English
268,11,Ilkay Camara,FWD,25,English
269,11,Oscar Silva,MID,26,Senegalese
270,11,Jude Smith,DEF,21,Moroccan
271,11,George Roberts,MID,17,Spanish
272,11,Ahmed Hall,DEF,31,Senegalese
273,11,Lucas Sanchez,DEF,27,Spanish
274,11,Jack Roberts,DEF,36,French
275,11,Noah Silva,MID,30,Swedish
276,12,Ilkay Castro,DEF,23,Polish
277,12,Liam Perez,DEF,26,Swedish
278,12,Ahmed Camara,DEF,24,Moroccan
279,12,Ilkay Taylor,GK,26,Portuguese
280,12,Mason Hernandez,DEF,20,English
281,12,Luis Gomez,DEF,29,Croatian
282,12,Henry Fischer,MID,28,Spanish
283,12,Aaron Williams,MID,31,Spanish
284,12,Jordan Klein,DEF,29,Danish
285,12,Declan Wilson,DEF,27,Argentine
286,12,Bruno Reyes,FWD,28,Spanish
287,12,Kyle Evans,DEF,35,Moroccan
288,12,Ahmed Davies,DEF,26,Senegalese
289,12,Henry Lopez,MID,19,Polish
290,12,Liam Weber,MID,28,Ivorian
291,12,Ethan Young,DEF,25,Portuguese
292,12,Oscar Diallo,DEF,19,Argentine
293,12,Luis Reyes,MID,35,Norwegian
294,12,Youri Toure,MID,36,Senegalese
295,12,Jordan Roberts,MID,32,Norwegian
296,12,Trent Silva,MID,28,Polish
297,12,George Garcia,MID,18,French
298,12,Phil Martinez,GK,19,Polish
299,12,Ben Reyes,MID,18,Norwegian
300,12,Youri Toure,DEF,36,Swedish
301,13,Carlos Roberts,FWD,31,German
302,13,Callum Davies,MID,22,French
303,13,Kai Castro,FWD,33,Polish
304,13,Bruno Johnson,DEF,26,Moroccan
305,13,Reece Lopez,MID,18,Senegalese
306,13,George Lopez,DEF,29,Nigerian
307,13,Raheem Camara,FWD,36,Brazilian
308,13,Callum Davies,MID,21,Ivorian
309,13,Trent Toure,MID,29,Brazilian
310,13,Ilkay Davies,DEF,29,Senegalese
311,13,Mason Camara,MID,33,Spanish
312,13,Kyle Fischer,DEF,28,Nigerian
313,13,Oscar Hall,DEF,32,Portuguese
314,13,Henry Thomas,DEF,26,German
315,13,Carlos Hoffmann,FWD,33,French
316,13,Callum Traore,DEF,29,Brazilian
317,13,Lucas White,FWD,36,Argentine
318,13,John Williams,DEF,24,Norwegian
319,13,Bruno Martinez,MID,31,Dutch
320,13,Samir Young,DEF,32,Portuguese
321,13,Phil Coulibaly,FWD,31,Norwegian
322,13,Declan Diaz,MID,30,Argentine
323,13,Archie Diallo,DEF,25,French
324,13,Pedro Sanchez,MID,20,Polish
325,13,Liam Martinez,DEF,22,Belgian
326,14,John Fischer,DEF,30,Spanish
327,14,Henry Castro,FWD,17,Danish
328,14,Jack Torres,MID,24,Moroccan
329,14,Noah Sanchez,DEF,27,German
330,14,Callum Roberts,DEF,26,Swedish
331,14,Mason Muller,MID,17,Spanish
332,14,Oliver Hernandez,DEF,21,Croatian
333,14,Ilkay Weber,DEF,26,Dutch
334,14,Trent Wilson,GK,30,Norwegian
335,14,George Wilson,FWD,32,Croatian
336,14,Oliver Kone,MID,24,Brazilian
337,14,Declan Gomez,GK,28,Dutch
338,14,Youri Fernandez,DEF,19,Polish
339,14,Phil Brown,FWD,34,Polish
340,14,Carlos Becker,GK,32,French
341,14,Ben Sanchez,DEF,17,Ivorian
342,14,George Perez,DEF,20,Senegalese
343,14,Mason Williams,DEF,27,Argentine
344,14,Ivan Muller,MID,21,Spanish
345,14,Ivan Williams,DEF,18,Portuguese
346,14,Harry Rodriguez,FWD,33,Moroccan
347,14,Samir Muller,DEF,23,Nigerian
348,14,Jude Taylor,FWD,27,Belgian
349,14,Liam Sanchez,MID,29,Norwegian
350,14,Ben Lopez,FWD,32,Swedish
351,15,Phil Weber,DEF,19,Danish
352,15,Noah Gomez,MID,22,Croatian
353,15,Declan Rodriguez,DEF,27,Nigerian
354,15,Trent Castro,MID,30,Argentine
355,15,John Perez,MID,28,Danish
356,15,Marcus Kone,FWD,18,Spanish
357,15,Aaron Sanchez,MID,22,English
358,15,Ethan Diallo,MID,31,French
359,15,Mason Brown,DEF,28,Ivorian
360,15,Ben Klein,GK,21,Norwegian
361,15,Phil Sanchez,MID,19,Brazilian
362,15,Ahmed Sanchez,DEF,25,Dutch
363,15,Liam Jones,MID,32,Polish
364,15,Ben Becker,DEF,25,Norwegian
365,15,Leo Traore,DEF,32,Portuguese
366,15,Liam Thomas,FWD,31,Argentine
367,15,John Davies,FWD,27,Ivorian
368,15,George Becker,MID,26,Argentine
369,15,Oscar Sanchez,MID,20,Portuguese
370,15,Mason Young,FWD,17,Ivorian
371,15,Riyad Klein,DEF,34,Brazilian
372,15,Bruno Davies,GK,29,Swedish
373,15,Ahmed Fernandez,MID,35,Spanish
374,15,Mason Rodriguez,MID,31,Norwegian
375,15,Ahmed Perez,DEF,34,Argentine
376,16,Mason Gomez,MID,18,German
377,16,Ahmed Roberts,DEF,22,Senegalese
378,16,Henry Perez,FWD,33,Nigerian
379,16,Noah Hernandez,DEF,34,Belgian
380,16,Mason Kone,DEF,34,Spanish
381,16,Carlos Toure,DEF,35,Brazilian
382,16,Lucas Camara,MID,36,Senegalese
383,16,Youri Williams,FWD,17,Spanish
384,16,Harry Toure,MID,25,Portuguese
385,16,Youri Fernandez,MID,17,Swedish
386,16,Samir Martinez,MID,26,Swedish
387,16,Kai Coulibaly,DEF,31,Spanish
388,16,Jack Johnson,MID,32,Norwegian
389,16,Leo Lopez,MID,27,Senegalese
390,16,Jude Torres,DEF,28,Polish
391,16,Riyad Evans,DEF,31,German
392,16,Marcus Castro,DEF,20,French
393,16,Declan Diaz,FWD,30,Dutch
394,16,Lucas Rodriguez,FWD,27,Portuguese
395,16,Lucas Schmidt,FWD,31,Swedish
396,16,Trent Schmidt,GK,29,Polish
397,16,Ivan Young,DEF,28,French
398,16,Jack Martinez,MID,32,Nigerian
399,16,Samir Smith,FWD,30,Brazilian
400,16,Raheem Sanchez,MID,28,French
401,17,Aaron Taylor,MID,23,Ivorian
402,17,Riyad Martinez,GK,33,Norwegian
403,17,Riyad Silva,FWD,36,German
404,17,Mason Evans,DEF,27,Croatian
405,17,Phil Roberts,DEF,33,Moroccan
406,17,Carlos Williams,GK,21,Senegalese
407,17,Pedro Weber,MID,36,Polish
408,17,Mason Rodriguez,FWD,27,Argentine
409,17,Aaron Traore,MID,26,Senegalese
410,17,Carlos Fischer,MID,35,Nigerian
411,17,Pedro Jones,DEF,20,Danish
412,17,Wilfried Garcia,FWD,17,Swedish
413,17,Raheem Toure,FWD,35,Dutch
414,17,Jack Mbeki,MID,33,Moroccan
415,17,Ethan Coulibaly,DEF,35,German
416,17,Archie Jones,MID,30,Brazilian
417,17,Reece Hall,DEF,36,Swedish
418,17,Jack Thomas,MID,34,Senegalese
419,17,Pedro Weber,DEF,22,Norwegian
420,17,Samir Lopez,MID,25,Swedish
421,17,Archie Young,DEF,26,Dutch
422,17,Trent Martinez,MID,32,Senegalese
423,17,Pedro Perez,MID,25,Nigerian
424,17,Liam Klein,MID,29,Moroccan
425,17,Jude Roberts,DEF,26,Spanish
426,18,Jude Castro,MID,32,Portuguese
427,18,Archie Hoffmann,DEF,34,Belgian
428,18,Mason Evans,MID,35,Dutch
429,18,Kai Taylor,MID,33,Dutch
430,18,Henry Taylor,DEF,27,Swedish
431,18,Charlie Coulibaly,MID,17,Croatian
432,18,Lucas Fernandez,MID,32,Swedish
433,18,Archie Martinez,DEF,18,Spanish
434,18,Youri Allen,MID,18,Argentine
435,18,Reece White,FWD,18,Moroccan
436,18,Luis White,FWD,26,French
437,18,James Garcia,MID,20,Senegalese
438,18,Declan Reyes,FWD,34,Polish
439,18,Luis Thomas,FWD,31,Belgian
440,18,Archie Wilson,DEF,31,Belgian
441,18,Oscar Smith,MID,26,Portuguese
442,18,Oscar Traore,FWD,29,Danish
443,18,Carlos Rodriguez,DEF,20,Argentine
444,18,Mason Muller,DEF,24,English
445,18,Raheem Diaz,DEF,25,Senegalese
446,18,Trent Mbeki,MID,17,Belgian
447,18,Phil Young,GK,20,Norwegian
448,18,Trent Johnson,DEF,33,Nigerian
449,18,Liam Kone,FWD,26,Ivorian
450,18,Bruno Allen,DEF,21,Swedish
451,19,Ethan Reyes,MID,36,Ivorian
452,19,Reece Becker,FWD,34,Portuguese
453,19,Kai Coulibaly,MID,19,Polish
454,19,John Weber,MID,19,German
455,19,Jack Becker,FWD,23,Croatian
456,19,Ethan Johnson,DEF,33,Norwegian
457,19,Liam Coulibaly,DEF,35,Swedish
458,19,Noah Fischer,MID,18,Norwegian
459,19,Mason Fischer,DEF,35,French
460,19,Riyad Reyes,MID,26,English
461,19,Aaron Hernandez,FWD,23,Spanish
462,19,Harry Gomez,DEF,19,Croatian
463,19,Jack Brown,FWD,32,French
464,19,Declan Fernandez,DEF,21,Danish
465,19,Phil Diaz,MID,29,Moroccan
466,19,Noah Coulibaly,FWD,34,Brazilian
467,19,Jude Wilson,DEF,34,Moroccan
468,19,Ahmed Thomas,MID,24,English
469,19,Oliver Garcia,MID,34,Danish
470,19,Samir Diaz,FWD,24,Norwegian
471,19,Jude Roberts,DEF,20,French
472,19,Reece Traore,MID,17,Dutch
473,19,Leo Brown,DEF,18,Norwegian
474,19,Ilkay Coulibaly,MID,18,Dutch
475,19,Harry Torres,MID,34,Portuguese
476,20,Jack Thomas,MID,26,Dutch
477,20,Youri Rodriguez,MID,27,Dutch
478,20,Trent Roberts,FWD,33,Dutch
479,20,Reece Garcia,DEF,34,Argentine
480,20,Kyle Becker,MID,28,Moroccan
481,20,Ahmed Rodriguez,MID,30,Brazilian
482,20,Trent Diaz,DEF,34,Swedish
483,20,Kai Allen,DEF,21,Norwegian
484,20,Jack Becker,DEF,30,Croatian
485,20,Ahmed Thomas,DEF,25,Portuguese
486,20,Callum Toure,GK,31,Ivorian
487,20,Noah Hoffmann,MID,23,French
488,20,Marcus Diaz,MID,36,French
489,20,George Walker,FWD,35,Croatian
490,20,Leo Muller,DEF,27,Nigerian
491,20,James Hall,FWD,20,Swedish
492,20,Kai Diallo,MID,29,Dutch
493,20,Riyad Rodriguez,MID,29,Norwegian
494,20,Samir Toure,DEF,25,Ivorian
495,20,Carlos Schmidt,MID,32,Senegalese
496,20,Leo Sanchez,DEF,18,Dutch
497,20,Ethan Jones,DEF,35,Danish
498,20,Declan Roberts,DEF,24,Moroccan
499,20,Youri Young,MID,27,Belgian
500,20,Luis Toure,MID,31,Argentine
